               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.031464,            0.021652,           0.0054233,             0.85104,             0.85801,             0.88299,             0.57727,            0.030406,             0.01672,           0.0067764,            0.007756,            0.007756,            0.007756
                  70,            0.029819,            0.020432,           0.0048869,             0.91051,             0.81469,             0.87457,             0.58713,            0.029274,            0.015998,           0.0065796,            0.007723,            0.007723,            0.007723
                  71,            0.030328,            0.021527,           0.0053077,             0.88225,             0.83383,             0.87636,             0.59102,            0.029969,            0.016028,           0.0066427,             0.00769,             0.00769,             0.00769
                  72,            0.030083,             0.02162,           0.0049989,             0.88143,             0.83386,             0.88062,             0.58637,             0.03014,            0.016532,           0.0063843,            0.007657,            0.007657,            0.007657
                  73,            0.030289,            0.022619,           0.0049933,             0.87335,             0.83534,             0.87297,             0.56583,            0.031451,            0.016687,           0.0065611,            0.007624,            0.007624,            0.007624
                  74,            0.028691,            0.021134,           0.0047138,             0.88139,              0.8315,             0.87955,             0.56881,            0.030381,             0.01675,           0.0068091,            0.007591,            0.007591,            0.007591
                  75,            0.030362,            0.020863,           0.0049922,             0.89484,             0.83364,             0.88872,             0.59732,            0.030058,            0.016732,           0.0066053,            0.007558,            0.007558,            0.007558
                  76,            0.030385,            0.022322,           0.0051893,             0.89734,             0.83975,             0.88661,             0.57902,            0.029612,            0.016648,           0.0066218,            0.007525,            0.007525,            0.007525
                  77,            0.029504,            0.021442,           0.0050389,             0.88594,             0.83346,             0.88023,             0.60171,            0.029625,            0.016721,           0.0066811,            0.007492,            0.007492,            0.007492
                  78,            0.028843,            0.021524,           0.0046837,             0.88385,             0.83788,             0.87809,             0.57502,            0.030093,            0.017257,           0.0071459,            0.007459,            0.007459,            0.007459
                  79,            0.029074,            0.020933,            0.005066,             0.87335,             0.84426,             0.88015,             0.57354,            0.029878,             0.01686,           0.0070335,            0.007426,            0.007426,            0.007426
                  80,            0.029996,            0.020681,           0.0056374,             0.87174,             0.84013,             0.86192,             0.55687,             0.03103,            0.017552,            0.007613,            0.007393,            0.007393,            0.007393
                  81,            0.030559,            0.022692,           0.0045801,             0.86952,             0.84263,             0.87189,             0.57856,             0.02992,            0.017707,            0.007371,             0.00736,             0.00736,             0.00736
                  82,            0.029399,            0.021169,           0.0052092,             0.84937,             0.85345,             0.87261,             0.59122,            0.028825,            0.017003,           0.0070262,            0.007327,            0.007327,            0.007327
                  83,            0.029848,            0.019799,           0.0048306,             0.85836,             0.82878,             0.87994,             0.57562,            0.029728,            0.016493,           0.0070689,            0.007294,            0.007294,            0.007294
                  84,            0.030918,            0.021252,           0.0052194,             0.87074,             0.81599,             0.87098,              0.5828,            0.029994,            0.016646,           0.0070771,            0.007261,            0.007261,            0.007261
                  85,            0.030703,            0.022783,             0.00522,             0.86986,             0.84508,             0.87767,             0.59124,            0.029495,            0.016832,           0.0072623,            0.007228,            0.007228,            0.007228
                  86,            0.029028,            0.021529,           0.0047177,             0.89309,             0.80965,             0.87431,             0.58839,            0.029231,            0.016658,           0.0072959,            0.007195,            0.007195,            0.007195
                  87,             0.02933,            0.022069,           0.0049816,             0.89405,             0.80678,             0.87923,             0.59544,            0.029309,            0.016287,           0.0070918,            0.007162,            0.007162,            0.007162
                  88,            0.029638,            0.021539,           0.0046873,              0.8696,               0.815,             0.87781,             0.59468,            0.029388,            0.016628,           0.0069471,            0.007129,            0.007129,            0.007129
                  89,            0.030044,            0.020833,           0.0049968,             0.90549,             0.81302,             0.87579,             0.58125,              0.0296,            0.016231,           0.0072071,            0.007096,            0.007096,            0.007096
                  90,            0.028268,            0.021089,           0.0048361,             0.86961,             0.82898,             0.86925,             0.57198,            0.029267,            0.016247,           0.0079648,            0.007063,            0.007063,            0.007063
